,Transit_Time,NormalValue,Transit_Time_Score
"101-23 110 STREET,11419,NYC",3115.0,54.35690838555655,3.261414503133393
"101-23 112 STREET,11419,NYC",3128.0,54.162936436884515,3.249776186213071
"101-24 103 STREET,11416,NYC",3601.0,47.10534168904804,2.8263205013428823
"101-24 91 STREET,11416,NYC",3277.0,51.93971948672038,3.1163831692032224
"101-26 126 STREET,11419,NYC",2520.0,63.23485526708445,3.794091316025067
"101-27 113 STREET,11419,NYC",3188.0,53.26768128916741,3.1960608773500447
"101-27 98 STREET,11416,NYC",3401.0,50.08952551477171,3.0053715308863023
"101-28 106 STREET,11416,NYC",3361.0,50.686362279916445,3.0411817367949867
"101-28 126 STREET,11419,NYC",2525.0,63.16025067144136,3.7896150402864817
"101-28 91 STREET,11416,NYC",3267.0,52.08892867800656,3.1253357206803933
"101-29 113 STREET,11419,NYC",3194.0,53.178155774395705,3.190689346463742
"101-31 102 STREET,11416,NYC",3645.0,46.448821247388835,2.78692927484333
"101-31 110 STREET,11419,NYC",3135.0,54.058490002984186,3.243509400179051
"101-33 95 STREET,11416,NYC",3359.0,50.71620411817368,3.042972247090421
"101-34 121 STREET,11419,NYC",3347.0,50.8952551477171,3.053715308863026
"101-34 75 ROAD,11375,NYC",2538.0,62.96627872276932,3.7779767233661588
"101-34 95 STREET,11416,NYC",3358.0,50.7311250373023,3.043867502238138
"101-37 126 STREET,11419,NYC",2548.0,62.81706953148314,3.7690241718889883
"101-39 124 STREET,11419,NYC",2671.0,60.981796478663085,3.658907788719785
"101-39 126 STREET,11419,NYC",2553.0,62.74246493584005,3.7645478961504026
"101-40 114 STREET,11419,NYC",3269.0,52.05908683974933,3.1235452103849597
"101-40 126 STREET,11419,NYC",2552.0,62.75738585496867,3.76544315129812
"101-42 114 STREET,11419,NYC",3273.0,51.99940316323485,3.119964189794091
"101-42 121 STREET,11419,NYC",3366.0,50.61175768427335,3.036705461056401
"101-42 93 STREET,11416,NYC",3284.0,51.83527305282005,3.1101163831692027
"101-42 94 STREET,11416,NYC",3277.0,51.93971948672038,3.1163831692032224
"101-45 108 STREET,11419,NYC",3284.0,51.83527305282005,3.1101163831692027
"101-47 108 STREET,11419,NYC",3288.0,51.77558937630558,3.106535362578335
"101-47 113 STREET,11419,NYC",3234.0,52.58131900925097,3.154879140555058
"101-48 114 STREET,11419,NYC",3287.0,51.7905102954342,3.107430617726052
"101-52 104 STREET,11416,NYC",3479.0,48.92569382273948,2.935541629364369
"101-52 120 STREET,11419,NYC",3380.0,50.40286481647269,3.0241718889883615
"101-52 133 STREET,11419,NYC",2715.0,60.325276037003874,3.619516562220232
"101-53 116 STREET,11419,NYC",3588.0,47.29931363772009,2.837958818263205
"101-54 102 STREET,11416,NYC",3596.0,47.179946284691134,2.830796777081468
"101-56 125 STREET,11419,NYC",2631.0,61.578633243807815,3.6947179946284687
"101-56 94 STREET,11416,NYC",3245.0,52.41718889883617,3.14503133393017
