,Drive_Time,NormalValue,Drive_Time_Score
"100-54 FRANCIS LEWIS BOULEVARD,11429,NYC",2686.0,46.10741049125728,2.766444629475437
"100-57 198 STREET,11423,NYC",2666.0,46.52373022481265,2.791423813488759
"1000 ARDEN AVENUE,10312,NYC",4518.0,7.97252289758535,0.47835137385512094
"1000 BARBEY STREET,11207,NYC",2913.0,41.38218151540383,2.4829308909242296
"1000 CLOVE ROAD,10301,NYC",3759.0,23.771856786011654,1.4263114071606993
"1000 HALSEY STREET,11207,NYC",1988.0,60.63696919233972,3.638218151540383
"1000 PARK AVENUE,10028,NYC",1304.0,74.8751040799334,4.492506244796004
"10002 4 AVENUE,11209,NYC",2996.0,39.654454621149036,2.379267277268942
"1001 5 AVENUE,10028,NYC",1300.0,74.95836802664446,4.497502081598667
"1001 ANDERSON AVENUE,10452,NYC",1841.0,63.69691923397169,3.821815154038301
"1001 EAST 108 STREET,11236,NYC",2938.0,40.86178184845962,2.451706910907577
"1001 PARK AVENUE,10028,NYC",1379.0,73.31390507910075,4.398834304746045
"10010 FLATLANDS AVENUE,11236,NYC",2992.0,39.737718567860114,2.3842631140716066
"10016 FLATLANDS AVENUE,11236,NYC",2990.0,39.77935054121565,2.386761032472939
"1002 BEDFORD AVENUE,11205,NYC",1526.0,70.25395503746877,4.215237302248126
"1002 BERGEN STREET,11216,NYC",2011.0,60.15820149875104,3.6094920899250624
"1003 39 STREET,11219,NYC",2660.0,46.648626144879266,2.798917568692756
"1003 BOSTON ROAD,10456,NYC",2098.0,58.34721065778518,3.5008326394671108
"1003 EAST 228 STREET,10466,NYC",3155.0,36.344712739383844,2.1806827643630307
"1003 ELDER AVENUE,10472,NYC",2276.0,54.64196502914238,3.278517901748543
"1003 STERLING PLACE,11213,NYC",2116.0,57.97252289758534,3.4783513738551206
"1004 EAST 105 STREET,11236,NYC",2997.0,39.63363863447127,2.378018318068276
"1004 HEGEMAN AVENUE,11208,NYC",2719.0,45.42048293089093,2.7252289758534554
"1005 40 STREET,11219,NYC",2666.0,46.52373022481265,2.791423813488759
"1005 EAST 215 STREET,10469,NYC",2996.0,39.654454621149036,2.379267277268942
"1005 ELDER AVENUE,10472,NYC",2275.0,54.66278101582015,3.2797668609492088
"1006 EAST 19 STREET,11230,NYC",3136.0,36.740216486261446,2.2044129891756867
"1006 RHINELANDER AVENUE,10462,NYC",2623.0,47.4188176519567,2.845129059117402
"1007 AVENUE P,11223,NYC",3012.0,39.321398834304745,2.3592839300582846
"1007 EAST 226 STREET,10466,NYC",3131.0,36.84429641965029,2.2106577851790172
"1008 DECATUR STREET,11207,NYC",2034.0,59.67943380516236,3.5807660283097413
"1008 EAST 230 STREET,10466,NYC",3157.0,36.30308076602831,2.1781848459616984
"1008 EAST 5 STREET,11230,NYC",2832.0,43.06827643630308,2.584096586178185
"1008 HALSEY STREET,11207,NYC",1980.0,60.80349708576186,3.6482098251457113
"1008 MANHATTAN AVENUE,11222,NYC",556.0,90.44546211490425,5.426727726894255
"1009 EAST 2 STREET,11230,NYC",2869.0,42.298084929225645,2.5378850957535386
"1009 EAST 228 STREET,10466,NYC",3162.0,36.19900083263947,2.1719400499583683
"100A BELAIR ROAD,10305,NYC",3421.0,30.80766028309742,1.8484596169858452
"101 1 AVENUE,10003,NYC",1087.0,79.39217318900916,4.76353039134055
"101 ALLEN STREET,10002,NYC",1362.0,73.66777685262281,4.4200666111573685
"101 BURGUNDY LOOP,10304,NYC",3661.0,25.811823480432977,1.5487094088259785
"101 BUTLER STREET,11231,NYC",1792.0,64.71690258118235,3.883014154870941
